,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
First Obs. Date,01/12/1960,01/01/2014,01/01/1997,01/01/1997,01/01/1997,01/01/1993,01/12/1983,01/12/1993,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/09/1960,01/03/1991,01/03/1994,01/03/1999,01/03/1983,01/12/2010,01/06/1983,01/03/1956,01/03/1961,01/12/2010,01/01/1998,01/01/1998,01/01/1998,01/11/2002,01/01/1998,01/01/1997,01/12/2002,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/12/2000,01/03/1993,01/12/2000,01/01/1998,01/01/1998,01/07/2012,01/01/1998,01/03/1980,01/03/1980,01/03/2008,01/03/2008,01/12/1960,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/03/2008,01/12/2010,01/12/2010,01/12/1972,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/01/1998,01/01/1997,01/01/1997,01/01/1998,01/10/2009,01/10/2009,01/10/2009,01/12/1996,01/03/2008,01/03/2008,01/03/2008,01/06/2011,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/12/1996,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/12/2010
Last Obs. Date,01/12/2020,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/12/1993,01/12/2013,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/12/2018,01/03/2019,01/03/2019,01/06/2019,01/12/2018,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/12/2015,01/12/2016,08/01/2006,08/01/2006,08/01/2006,12/01/2006,08/01/2006,08/01/2006,15/12/2005,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,01/12/2013,01/12/2003,01/12/2013,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/12/2020,01/12/2020,01/03/2019,01/03/2019,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/03/2019,01/12/2018,01/12/2018,01/12/2018,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/12/2018,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/12/2018,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/12/2018
Last Update Time,31/12/2018,24/07/2019,29/07/2019,29/07/2019,29/07/2019,10/07/2019,04/07/2019,03/07/2019,25/02/2016,25/02/2016,25/02/2016,25/02/2016,25/02/2016,25/02/2016,05/06/2019,17/05/2019,14/06/2019,09/05/2019,28/05/2019,02/07/2019,19/06/2019,10/06/2019,24/07/2019,02/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,25/02/2016,17/12/2018,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,02/07/2019,02/07/2019,02/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,04/07/2018,04/07/2018,01/07/2019,01/07/2019,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,01/07/2019,24/06/2019,24/06/2019,26/07/2019,17/12/2018,17/12/2018,17/12/2018,17/12/2018,29/07/2019,29/07/2019,29/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,07/06/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,24/06/2019
Series remarks,,,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,,1. Changed from SNA 1968 to SNA 1993
2. Replacement series ID: 13142901


1. Perubahan dari SNA 1968 ke SNA 1993.
2. Series pengganti ID: 13142901,,1. Replacement series ID: 284902801
2. National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,"1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. The Australian Bureau of Statistics provides Real GDP in local currency, at chain linked 2016-2017 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Census and Statistics Department provides Real GDP in local currency, at chain linked 2017 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. National Economic and Social Development Board provides Real GDP in local currency, at chain linked 2002 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Philippine Statistics Authority provides Real GDP in local currency, at 2000 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. The Directorate-General of Budget, Accounting and Statistics, Executive Yuan provides Real GDP in local currency, at chain linked 2011 prices.",,"1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Statistics New Zealand provides Real GDP in local currency, at chain linked 2009-2010 prices.
3. Real GDP Growth prior to Q2 1988 is calculated from GDP Volume Index sourced from the International Monetary Fund.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Economic and Social Research Institute provides Real GDP in local currency, at chain linked 2011 prices.
3. Real GDP Growth prior to Q1 1995 is calculated from Real GDP at 2000 prices.
4. Real GDP Growth prior to Q1 1981 is calculated from GDP Volume Index with base 2010=100 sourced from the International Monetary Fund.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. The Bank of Korea provides Real GDP in local currency, at chain linked 2015 prices.
3. Real GDP Growth prior to Q1 2001 is calculated from Real GDP at 2010 prices.",1. CEIC converts annual GDP per Capita into USD.
2. The Central Bureau of Statistics provides GDP per Capita in local currency. The Bank of Indonesia average market exchange rate is used for currency conversions.


1. CEIC mengonversi PDB tahunan per Kapita kedalam Dolar Amerika Serikat (USD).
2. BPS menyediakan PDB per Kapita dalam mata uang dalam negeri. Kurs pasar rata-rata Bank Indonesia digunakan untuk mengonversi mata uang.,,,,,,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,,,,,,,,,,,,,,,,,,,,1. Changed from SNA 1993 to SNA 2008
2. Replacement series ID: 365766457


1. Perubahan dari SNA 1993 ke SNA 2008.
2. Series pengganti ID: 365766457.,,,,,,,,,,,,,,,,,,1. CEIC converts annual Government Consumption Expenditure into USD.
2. Federal Competitiveness and Statistics Authority provides Government Consumption Expenditure in local currency based on SNA 2008. The International Monetary Fund average market exchange rate is used for currency conversions.
3. Government Consumption Expenditure prior to 2010 is based on SNA 1993.,,,,,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,,,,,1. CEIC calculates annual Government Consumption Expenditure from quarterly Government Consumption Expenditure and converts it into USD.
2. The Institute of Statistics of Albania provides Government Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.
3. Government Consumption Expenditure prior to 2008 is sourced from the International Monetary Fund.,,,,,,,,,,,1. CEIC converts quarterly Government Consumption Expenditure into USD.
2. The Institute of Statistics of Albania provides Government Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.,,,1. CEIC calculates annual Private Consumption Expenditure from quarterly Private Consumption Expenditure and converts it into USD. Private Consumption Expenditure is calculated as the sum of Household and NPISHs Consumption.
2. The Institute of Statistics of Albania provides Private Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.
3. Private Consumption Expenditure prior to 2008 is sourced from the International Monetary Fund.,1. CEIC calculates quarterly Private Consumption Expenditure as the sum of Household and NPISHs Consumption and converts it into USD.
2. The Institute of Statistics of Albania provides Private Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.,,,,,
Suggestions,,,,,,,13142901,,284902801,,,,,,,,,,,,,,,,,,,,,,412035467,,,,,,,,,,,,,,,,,,"365766457,369149737","365766457,369149737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,32530.758027928197,7504.0221960340905,-13029.41244986423,62281.24872832792,75310.68710411791,2940.86209317761,915699.2977840364,13692151.791485533,5744.954390516137,39072.46908043537,8825.291263673766,24494.136985721696,-2775.809452111403,12936.916666043064,3.456150296680853,3.747243419823008,3.7353097425742576,5.2388275004938265,5.553339361999998,41939366.4971244,2.7170284334027786,4.246295571818183,7.3676897467094005,3619.582791434444,53.08217054263566,55.42868217054262,50.858527131782964,49.173,49.17984496124032,15712.726118283013,335535.7752409887,4.1842654028436295,4.56399524375744,4.751421800947852,4.860897435897445,4.711761904761929,5.0050947867298605,4.924698795180759,4.8841105769230415,5.419062499999996,5.211502403846172,5.265612980769225,5.277295673076926,5.300973557692303,5.320528846153808,5.352079326923045,5.406225961538504,16966291.99815233,1166149.8297727273,18635863.276838806,51.598449612403094,48.2682170542636,63.854761904761915,53.014341085271354,187562.5669512195,103477.89512195122,19787.402357777773,2088.576211111111,473502.9731238793,0,489501.74596510694,345947.2080915763,274624.2015388968,181980.35140667,7908.952773333333,144874.3624636422,156524.15872085333,14236.702985208934,85974.90260426814,0,303832.62018863694,181980.35140667,14571.070333816753,894.0547209681852,-13029.41244986423,48.295736434108505,51.764957264957225,52.026495726495696,49.06239316239317,967.1433840226088,55213.28992888888,15814.35529555556,36803.311217777795,118.91370091812503,63977.15941777776,39942.61432444445,18752.124211111113,11301.685597777778,8394.889793333332,20621.423351111112,352.3835249791111,37816.152777777774,270292.96634,7104.278702556522,2546.3898315364445,340296.3938222222,296813.25836,43483.13546222222,36835.576713333336,27900.235052498887
Variance,955777189.3986328,1209963.1194401942,404054385.43742526,1488287555.5784478,2723182630.7216554,7627200.293174049,138767829986.6848,123567511515537.2,66262388.70972358,554712517.5433409,30591715.290907774,298340778.3161256,8573395.577768074,81600961.85588787,4.50209518956877,12.540636095960462,16.67846964505234,3.2306853754150056,15.982788685981525,83331474266550.11,7.812809600448961,19.26849358601715,20.662600293123475,57634.7804797869,18.681392935782583,95.27038035773536,12.895510662685114,15.08419195979899,12.54363888637529,106297878.3570696,13574458964.555964,0.10055331500565004,0.19295616188211442,0.18219939957160297,0.14990596146366217,0.09182668936943048,0.14003545956946925,0.1229718633278607,0.15787261351013543,0.11503859055354909,0.08614274608326433,0.08257314967485728,0.08812974159377132,0.086196042621261,0.09402234333055746,0.0957173318464784,0.10676287547440569,90359656780478.11,332862374744.3284,104097379677989.72,12.318285524688571,8.594550116128246,6.159133677567411,21.646914155581694,22236506846.820618,6284278155.2114105,12525366.385383045,671794.035504792,217952811208.02875,0,152052079114.3638,14411473540.473602,25893610155.268738,5462367258.892336,4591059.450587704,648080940.8760213,893480938.5774662,234190949.4752618,914436448.971594,0,36456651174.741104,5462367258.892336,158187716.48056644,138773935.6812418,404054385.43742526,5.899942840768565,5.968847627468315,4.735412614205719,0.5980562923666369,235849.02891234623,65868503.717205025,49060144.93974107,50541049.96279811,122.8791482675163,289986769.06634724,61824618.13084266,15995859.399135716,2877575.9337513256,1227541.6786009436,2340288.659591183,1759.0720575259218,36116708.884212166,1218208588.9496362,11398925.220046671,73088.01511764657,2050802554.154927,1637707251.4147758,38272342.30352221,66784079.77625685,125760316.25625196
Standard Deviation,30915.64635259358,1099.9832359814372,20101.10408503536,38578.330129470974,52184.12240060817,2761.738635927384,372515.5432820016,11116092.45713336,8140.171294863738,23552.33571311646,5530.97778796008,17272.544060332442,2928.036129860435,9033.325071970336,2.12181412700754,3.5412760547520805,4.08392821252435,1.7974107419883207,3.997848006863383,9128607.465903554,2.7951403543380358,4.38958922748099,4.545613302198448,240.07244839795112,4.322197697443117,9.760654709482113,3.591031977396625,3.883837272569358,3.541699999488281,10310.086243920057,116509.48014885296,0.317101427000337,0.4392677564790232,0.42684821608108303,0.387176912358759,0.30302918897266395,0.3742131205202047,0.3506734425756543,0.39733186822873323,0.33917339305073607,0.29350084511507685,0.28735544135244295,0.29686653835313154,0.2935916255979741,0.3066306301245156,0.3093821776484198,0.32674588822876666,9505769.657449001,576942.2629209342,10202812.341604138,3.5097415182159173,2.9316463149787095,2.4817601974339523,4.652624437409675,149119.1028903427,79273.4391534227,3539.1194364393873,819.6304261707176,466854.16481812473,0,389938.5581272565,120047.79689970825,160914.91588808273,73907.82948302795,2142.6757688898488,25457.433902025972,29891.15150972719,15303.298646868976,30239.65027859274,0,190936.24898049375,73907.82948302795,12577.269834131986,11780.234958660281,20101.10408503536,2.4289797942281375,2.4431225158530867,2.176100322642713,0.773340993589915,485.6429026685618,8115.941332784819,7004.294749633333,7109.2228803715325,11.085086750563402,17028.997887907182,7862.863227275588,3999.482391402132,1696.341927133597,1107.9447994376542,1529.800202507237,41.94129298824634,6009.717870600263,34902.84499793156,3376.2294383004646,270.3479519390642,45285.78755144849,40468.59586660718,6186.4644429207065,8172.15270147694,11214.290715700747
Skewness,1.0002117369084302,0.33501510718162153,-1.8248998243795946,0.44611555837463074,0.6922311230740028,0.6875060474313032,0.6486669758369903,0.644512008275326,-2.2439112720885594,0.6475021892981557,0.650128256344668,1.4030887545835362,-1.5379126828834524,1.0495337952847708,-0.0854945484208478,-0.9731061973575195,-1.088290288791645,-0.7170695028522566,-0.4889803451011004,0.10142614360102523,-0.11048948722782538,0.3700414559606703,-0.2055781344337244,-0.6862868196557536,-1.5328331732830296,-0.3808395446014775,-1.833031329598104,-2.2415870045833417,-1.7732600221003882,0.7166391316294503,0.11729384343847298,-0.9304891974517262,-0.5318733757276645,0.09112461116907308,0.022690978638358755,-0.4972116448232303,-0.6941346437100103,-0.4725067776285672,-4.42886374719027,-8.98175533628588,-13.674722895431318,-12.995330792989053,-13.211355511681925,-11.983940603012174,-12.184406952091978,-11.321035334716019,-8.931489951683682,0.5393864542946019,0.2008271643675541,0.5038214656563265,-1.6703832694267498,0.1054560895269359,0.4461695513440159,-1.4843625237613984,0.810166285057697,0.7662109341230365,0.03934872873421273,0.7593027325643893,0.8065688693680647,,0.4859502342060708,0.006978614642877229,-0.023148287049231088,-0.7083348055736761,0.27855283948393694,-0.192396100745438,-0.15884394060372645,1.412513151140015,-0.22139136788635563,,0.20850548720467751,-0.7083348055736761,1.6530706283067786,-1.3736042989852175,-1.8248998243795946,-1.6175520034452884,0.6243284676748717,0.5764072179122679,-1.3090249787035835,-0.2950178138664495,0.2812688512199039,0.34301939797059927,-0.14792028561369294,-0.29563929985559795,0.6842286190037176,-0.7225167078426489,0.3204649202233071,0.1438518682896281,0.32869315967064655,0.13967292816793994,0.07044770139544207,-0.3003001717769809,0.1508704043012299,-0.2569333779306211,0.8823878912663418,-0.1441985103816878,-0.0766734333918508,-0.11368758025089111,0.1350643864886529,0.4014879981257916
Kurtosis,-0.01928126451993739,-0.3536765959070163,3.1748844326090238,-0.931091183605568,-0.5463693691829379,-0.7532585939422467,-0.8156278325169168,-1.212391400455168,25.383026970741874,-0.26279356611264726,-0.5731351354416563,3.6553212033193914,7.149122956754516,0.7959685437409645,0.5626239366988641,1.688875949124271,3.2625167655897873,0.023931528349465214,1.2762991755775568,-1.06658079277112,3.253178149713042,0.3046683971435966,0.20257712729770505,0.2757290767823699,5.568633770515261,0.14309415990442886,5.927181245179714,7.654546538121992,3.1368946473005126,-0.38788213137531224,-1.6897198112040401,2.65954247282486,0.9075804472557696,-1.1868060328277752,-1.329117954480418,-0.07684679168623498,0.3804441561348759,0.5126933691873159,44.66551669668118,131.6112345281383,236.64495685733812,220.7899256265086,226.9718525027033,198.39306519154204,204.20775686260123,186.64095735641666,138.705585180215,-1.1497513267005264,-1.4933881258330426,-1.1903989466078984,5.1866307458846865,0.7216323361888324,0.06416061664980299,5.96718634594321,-0.9152136313743053,-0.9782205064731264,-0.2854855199521973,0.6443645615315452,-0.8961859981244404,,-1.6323027653952722,-1.728812197546795,-1.6457388958690333,-1.1533263473051347,0.051231074394048726,-1.1019545226669396,-0.42182979116262587,0.7569591715899122,0.1976884080075263,,-1.7317507889774055,-1.1533263473051347,3.225638531922174,6.456889232645899,3.1748844326090238,2.7389789164328615,0.320155879379715,0.08191396831559716,2.877246689571037,-1.5490978263443764,-0.10843187701475276,-1.1441233366374606,-0.38305599559236114,-0.7574595430790558,-0.18306996984202684,-0.285152526725323,-0.5534144610478138,-0.8463893824025712,-0.5807208620382962,-0.9909014730567711,-0.20128069906197288,0.1867911083767999,-0.5854962129464605,-1.6561835964028526,0.35685739105050507,-0.4240492900506059,-0.3873811362853439,-0.63012081645312,-0.9682740128289518,-1.2244341683712707
Coefficient Variation,0.9503512437691117,0.14658581854445785,-1.5427483136620497,0.6194212691166556,0.6929178899730792,0.9390915141292183,0.4068099038445018,0.8118586929518196,1.4169253124622996,0.6027859581801998,0.6267190082129551,0.7051705504219676,-1.0548404637909283,0.6982595084407623,0.6139241482192614,0.9450349651743052,1.0933305385565792,0.3430940877169351,0.7198998199569033,0.21766202564193388,1.0287490259487018,1.0337455679283887,0.616965895480145,0.0663260000478702,0.08142466016854985,0.17609393417383784,0.07060825745290775,0.0789831263614048,0.07201527378298102,0.6561615194147277,0.34723415130673757,0.0757842527830177,0.09624632214063909,0.08983589206833456,0.07965132312800513,0.06431334925188142,0.07476644029047479,0.07120708436398555,0.0813519395130177,0.06258894283849582,0.05631789498906661,0.05457207781922187,0.05625353528468182,0.05538447275820494,0.05763160749446511,0.05780597759306497,0.06043881453593207,0.5602738452505829,0.4947411114688199,0.5474826784270569,0.06802029023314404,0.060736577688024485,0.03886570278244005,0.08776161963281073,0.7950365860002598,0.7660905651395115,0.1788572028024829,0.3924350099413795,0.9859582543655643,,0.7966029975203652,0.34701189687858436,0.58594586706624,0.4061308207822213,0.27091775994848805,0.17572076569734546,0.19096829367430337,1.074918726812533,0.3517264848531683,,0.6284257722622062,0.4061308207822213,0.8631671899175776,13.176190094833668,-1.5427483136620497,0.05029387630401032,0.047196455767326236,0.04182677099919461,0.015762398524470853,0.5021415755838009,0.14699253283471467,0.4429073850137797,0.19316802334180816,0.09321959256987347,0.26617308493967334,0.1968539956700731,0.21328156460441622,0.15009636504727616,0.13197848056534475,0.07418499569404403,0.11902171927797298,0.15891933549971812,0.12912968276809494,0.47523887781675933,0.10616911385321598,0.1330774829635918,0.13634362592227425,0.14227273119012898,0.221854886787177,0.40194251749489607
Min,1489.83078215,5446.38157215,-105929.69239797,11596.25360535,10903.74918314,3,491025.6004757,1768643,-64494.88886278,8267.35360535,1702.05760102,5737.19217554,-19807.38445569,3321.2,-3.4063309,-8.13185638,-12.20257394,0.48694154,-7.86330735,28778163.8176949,-7.6579774,-10.40286621,-7.42729885,3167.01038851,31.4,26.1,32.6,28.9,34.7,3328.6,182842.40186835,3,3,4,4.19,4,4,4,0.22,0.22,0.01,0.26,0.07,0.32,0.08,0.18,0.33,5918748.46327201,418399,6751595.03450384,34.6,39.2,58.2,28.5,37661.52,21002.21,11229.6894,698.6534,57300,0,73568.25281247,182842.40186835,49057.50620191,48697.8656636,3702.3604,106755.07947254,106755.07947254,205.19939517,24096.28842318,0,45743.52411441,48697.8656636,-10758.28,-62370.32032616,-105929.69239797,38.9,47.5,47.9,45.9,232.88485106,37855.2187,6450.7251,21486.9214,97.17687117,37297.7211,22327.7359,11243.2813,8425.6292,6432.2008,18241.7733,264.57749114,21822.9781,210415.3584,2182.70932304,2180.10511266,233578.6209,202760.3336,30818.2873,22506.2883,14751.36321792
Max,112961.38490843,10352.3586601,16156,160621.74499975,235749.52759625,10462,1596828.73699349,32780966.4972122,35195.82385999,121831.68398852,22525.04807827,123094.25742399,6572.76853245,48695.4185588,9.01318309,12.30412198,15.30263361,8.53956637,15.00813674,55986859.234383,14.86765655,16.57474037,19.60276187,3932.21092273,62.5,78.3,57.6,57.8,54.1,45848.73983255,495628.74552863,5.1,5.4,5.5,5.45,5.3,5.55,5.55,5.5,5.75,5.5,5.55,5.55,5.6,5.6,5.7,6,33824000,2107257.13,36508000,58.2,57.4,70.3,63.9,508018.1,269959.3,26555.0902,4314.6013,1377535.35280279,0,1101210.44733595,506215.11418489,506765.61089784,261907.08922594,12799.1303,179132.52341649,199823,54410.61946903,142545.31760398,0,567051.06011584,261907.08922594,69198.46,41093.8524526,16156,52.5,59.3,58.6,50.5,1682.55499338,75443.7168,30139.0909,51333.1369,136.655256,101235.5825,53694.6839,27355.853,14342.5027,10937.4323,23908.8477,451.47930915,49218.5765,351600.7639,12031.78759894,3316.15151692,429981.9093,382906.4118,54939.1237,53239.8901,45936
