,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
First Obs. Date,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/03/2008,01/06/2011,01/12/2010,01/12/2010,01/12/2010,01/12/1996,01/03/2008,01/03/2008,01/12/1996,01/03/2008,01/03/2008,01/03/2008,01/12/1972,01/03/2008,01/03/1983,01/06/1983,01/03/1994,01/03/1999,01/03/1961,01/03/1991,01/09/1960,01/12/2010,01/03/1956,01/12/2010,01/01/1998,01/10/2009,01/10/2009,01/01/1998,01/01/1998,01/11/2002,01/01/1998,01/01/1998,01/03/1980,01/03/1980,01/12/1960,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/12/2002,01/03/2008,01/03/2008,01/01/1998,01/01/1997,01/01/1997,01/07/2012,01/01/1998,01/01/1998,01/10/2009,01/01/1998,01/12/1960,01/01/2014,01/01/1997,01/01/1997,01/01/1997,01/01/1993,01/12/1993,01/12/1983,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/01/1997,01/12/2002,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/09/2003,01/12/2000,01/03/1993,01/12/2000
Last Obs. Date,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/03/2019,01/03/2019,01/12/2018,01/03/2019,01/03/2019,01/03/2019,01/12/2018,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/03/2019,01/12/2018,01/03/2019,01/12/2018,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/12/2020,01/12/2020,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/12/2017,01/03/2019,01/03/2019,01/05/2019,01/05/2019,01/05/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/06/2019,01/12/2020,01/05/2019,01/05/2019,01/05/2019,01/05/2019,01/05/2019,01/12/2013,01/12/1993,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2016,08/01/2006,08/01/2006,08/01/2006,12/01/2006,08/01/2006,08/01/2006,15/12/2005,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,11/03/2009,01/12/2013,01/12/2003,01/12/2013
Last Update Time,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,07/06/2019,24/06/2019,24/06/2019,24/06/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,04/07/2019,01/07/2019,28/05/2019,19/06/2019,14/06/2019,09/05/2019,05/06/2019,17/05/2019,05/06/2019,06/02/2019,10/06/2019,06/02/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,04/07/2018,04/07/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,17/12/2018,01/07/2019,01/07/2019,28/06/2019,28/06/2019,28/06/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,31/12/2018,27/06/2019,28/06/2019,28/06/2019,28/06/2019,13/06/2019,03/07/2019,04/07/2019,25/02/2016,25/02/2016,25/02/2016,25/02/2016,25/02/2016,25/02/2016,25/02/2016,17/12/2018,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,21/01/2014,06/08/2015,21/01/2014,31/05/2017
Series remarks,,,,,,,,,,,,,,,,,1. CEIC calculates annual Government Consumption Expenditure from quarterly Government Consumption Expenditure and converts it into USD.
2. The Institute of Statistics of Albania provides Government Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.
3. Government Consumption Expenditure prior to 2008 is sourced from the International Monetary Fund.,,1. CEIC calculates quarterly Private Consumption Expenditure as the sum of Household and NPISHs Consumption and converts it into USD.
2. The Institute of Statistics of Albania provides Private Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.,1. CEIC calculates annual Private Consumption Expenditure from quarterly Private Consumption Expenditure and converts it into USD. Private Consumption Expenditure is calculated as the sum of Household and NPISHs Consumption.
2. The Institute of Statistics of Albania provides Private Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.
3. Private Consumption Expenditure prior to 2008 is sourced from the International Monetary Fund.,,,,1. CEIC converts annual Government Consumption Expenditure into USD.
2. Federal Competitiveness and Statistics Authority provides Government Consumption Expenditure in local currency based on SNA 2008. The International Monetary Fund average market exchange rate is used for currency conversions.
3. Government Consumption Expenditure prior to 2010 is based on SNA 1993.,1. CEIC converts quarterly Government Consumption Expenditure into USD.
2. The Institute of Statistics of Albania provides Government Consumption Expenditure in local currency. The Bank of Albania average market exchange rate is used for currency conversions.,"1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. The Directorate-General of Budget, Accounting and Statistics, Executive Yuan provides Real GDP in local currency, at chain linked 2011 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Statistics New Zealand provides Real GDP in local currency, at chain linked 2009-2010 prices.
3. Real GDP Growth prior to Q2 1988 is calculated from GDP Volume Index sourced from the International Monetary Fund.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. National Economic and Social Development Board provides Real GDP in local currency, at chain linked 2002 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Philippine Statistics Authority provides Real GDP in local currency, at 2000 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. The Bank of Korea provides Real GDP in local currency, at chain linked 2015 prices.
3. Real GDP Growth prior to Q1 2001 is calculated from Real GDP at 2010 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Census and Statistics Department provides Real GDP in local currency, at chain linked 2017 prices.","1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. The Australian Bureau of Statistics provides Real GDP in local currency, at chain linked 2016-2017 prices.",,"1. CEIC calculates Real GDP Growth from quarterly Real GDP.
2. Economic and Social Research Institute provides Real GDP in local currency, at chain linked 2011 prices.
3. Real GDP Growth prior to Q1 1995 is calculated from Real GDP at 2000 prices.
4. Real GDP Growth prior to Q1 1981 is calculated from GDP Volume Index with base 2010=100 sourced from the International Monetary Fund.",1. CEIC converts annual GDP per Capita into USD.
2. The Central Bureau of Statistics provides GDP per Capita in local currency. The Bank of Indonesia average market exchange rate is used for currency conversions.


1. CEIC mengonversi PDB tahunan per Kapita kedalam Dolar Amerika Serikat (USD).
2. BPS menyediakan PDB per Kapita dalam mata uang dalam negeri. Kurs pasar rata-rata Bank Indonesia digunakan untuk mengonversi mata uang.,,,,,,,,,,,,,,,,,,,,,,,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,,,,,,,,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,,,1. Changed from SNA 1968 to SNA 1993
2. Replacement series ID: 13142901


1. Perubahan dari SNA 1968 ke SNA 1993.
2. Series pengganti ID: 13142901,1. Replacement series ID: 284902801
2. National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,National Treasury Secretariat (Secretaria do Tesouro Nacional - STN) of Ministry of Finance compiles and publishes statistical data on government operation by following the IMF Classification.,,,,,,,,,,,,,,,,,,,,1. Changed from SNA 1993 to SNA 2008
2. Replacement series ID: 365766457


1. Perubahan dari SNA 1993 ke SNA 2008.
2. Series pengganti ID: 365766457.
Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13142901,284902801,,,,,,,412035467,,,,,,,,,,,,,,,,,,"365766457,369149737","365766457,369149737"
Mean,340296.3938222222,8394.889793333332,11301.685597777778,296813.25836,37816.152777777774,270292.96634,43483.13546222222,20621.423351111112,36835.576713333336,18752.124211111113,39942.61432444445,63977.15941777776,118.91370091812503,144874.3624636422,27900.235052498887,156524.15872085333,967.1433840226088,55213.28992888888,2546.3898315364445,7104.278702556522,7908.952773333333,36803.311217777795,15814.35529555556,14236.702985914253,352.3835249791111,5.553339361999998,2.7170284334027786,3.7353097425742576,5.2388275004938265,7.390296153605148,3.747243419823008,3.456150296680853,41939366.4971244,4.246295571818183,3619.582791434444,53.014341085271354,52.026495726495696,51.764957264957225,48.295736434108505,49.17984496124032,49.173,55.42868217054262,53.08217054263566,103477.89512195122,187562.5669512195,473502.9731238793,274624.2015388968,181980.35140667,181980.35140667,85974.90260426814,0,0,303832.62018863694,345947.2080915763,489501.74596510694,19787.402357777773,2088.576211111111,14559.960879862734,939.5807437389959,-12970.865115460825,63.854761904761915,48.2682170542636,51.598449612403094,49.06239316239317,50.858527131782964,32530.758027928197,7476.834808823847,62092.830842446274,75063.72198021178,-12970.865115460825,2922.2638709183598,13692151.791485533,915699.2977840364,5744.954390516137,39072.46908043537,8825.291263673766,24494.136985721696,-2775.809452111403,12936.916666043064,15712.726118283013,335535.7752409887,4.1842654028436295,4.56399524375744,4.751421800947852,4.860897435897445,4.711761904761929,5.0050947867298605,4.924698795180759,4.8841105769230415,5.419062499999996,5.211502403846172,5.265612980769225,5.277295673076926,5.300973557692303,5.320528846153808,5.352079326923045,5.406225961538504,16966291.99815233,1166149.8297727273,18635863.276838806
Variance,2050802554.154927,1227541.6786009436,2877575.9337513256,1637707251.4147758,36116708.884212166,1218208588.9496362,38272342.30352221,2340288.659591183,66784079.77625685,15995859.399135716,61824618.13084266,289986769.06634724,122.8791482675163,648080940.8760213,125760316.25625196,893480938.5774662,235849.02891234623,65868503.717205025,73088.01511764657,11398925.220046671,4591059.450587704,50541049.96279811,49060144.93974107,234190949.45616648,1759.0720575259218,15.982788685981525,7.812809600448961,16.67846964505234,3.2306853754150056,20.63156215612814,12.540636095960462,4.50209518956877,83331474266550.11,19.26849358601715,57634.7804797869,21.646914155581694,4.735412614205719,5.968847627468315,5.899942840768565,12.54363888637529,15.08419195979899,95.27038035773536,18.681392935782583,6284278155.2114105,22236506846.820618,217952811208.02875,25893610155.268738,5462367258.892336,5462367258.892336,914436448.971594,0,0,36456651174.741104,14411473540.473602,152052079114.3638,12525366.385383045,671794.035504792,158773670.51235664,138730697.1851635,404639430.6090616,6.159133677567411,8.594550116128246,12.318285524688571,0.5980562923666369,12.895510662685114,955777189.3986328,1189009.242970435,1484218325.2435865,2716820496.0823207,404639430.6090616,7542015.5763682155,123567511515537.2,138767829986.6848,66262388.70972358,554712517.5433409,30591715.290907774,298340778.3161256,8573395.577768074,81600961.85588787,106297878.3570696,13574458964.555964,0.10055331500565004,0.19295616188211442,0.18219939957160297,0.14990596146366217,0.09182668936943048,0.14003545956946925,0.1229718633278607,0.15787261351013543,0.11503859055354909,0.08614274608326433,0.08257314967485728,0.08812974159377132,0.086196042621261,0.09402234333055746,0.0957173318464784,0.10676287547440569,90359656780478.11,332862374744.3284,104097379677989.72
Standard Deviation,45285.78755144849,1107.9447994376542,1696.341927133597,40468.59586660718,6009.717870600263,34902.84499793156,6186.4644429207065,1529.800202507237,8172.15270147694,3999.482391402132,7862.863227275588,17028.997887907182,11.085086750563402,25457.433902025972,11214.290715700747,29891.15150972719,485.6429026685618,8115.941332784819,270.3479519390642,3376.2294383004646,2142.6757688898488,7109.2228803715325,7004.294749633333,15303.298646245079,41.94129298824634,3.997848006863383,2.7951403543380358,4.08392821252435,1.7974107419883207,4.5421979433010335,3.5412760547520805,2.12181412700754,9128607.465903554,4.38958922748099,240.07244839795112,4.652624437409675,2.176100322642713,2.4431225158530867,2.4289797942281375,3.541699999488281,3.883837272569358,9.760654709482113,4.322197697443117,79273.4391534227,149119.1028903427,466854.16481812473,160914.91588808273,73907.82948302795,73907.82948302795,30239.65027859274,0,0,190936.24898049375,120047.79689970825,389938.5581272565,3539.1194364393873,819.6304261707176,12600.54246897159,11778.399602032676,20115.651384160086,2.4817601974339523,2.9316463149787095,3.5097415182159173,0.773340993589915,3.591031977396625,30915.64635259358,1090.4170041642028,38525.554184769186,52123.12822617538,20115.651384160086,2746.2730338348033,11116092.45713336,372515.5432820016,8140.171294863738,23552.33571311646,5530.97778796008,17272.544060332442,2928.036129860435,9033.325071970336,10310.086243920057,116509.48014885296,0.317101427000337,0.4392677564790232,0.42684821608108303,0.387176912358759,0.30302918897266395,0.3742131205202047,0.3506734425756543,0.39733186822873323,0.33917339305073607,0.29350084511507685,0.28735544135244295,0.29686653835313154,0.2935916255979741,0.3066306301245156,0.3093821776484198,0.32674588822876666,9505769.657449001,576942.2629209342,10202812.341604138
Skewness,-0.1441985103816878,0.32869315967064655,0.1438518682896281,-0.0766734333918508,-0.3003001717769809,0.1508704043012299,-0.11368758025089111,0.13967292816793994,0.1350643864886529,0.3204649202233071,-0.7225167078426489,0.6842286190037176,-0.29563929985559795,-0.192396100745438,0.4014879981257916,-0.15884394060372645,-0.2950178138664495,0.2812688512199039,0.8823878912663418,-0.2569333779306211,0.27855283948393694,-0.14792028561369294,0.34301939797059927,1.412513151278714,0.07044770139544207,-0.4889803451011004,-0.11048948722782538,-1.088290288791645,-0.7170695028522566,-0.21521845762110067,-0.9731061973575195,-0.0854945484208478,0.10142614360102523,0.3700414559606703,-0.6862868196557536,-1.4843625237613984,0.5764072179122679,0.6243284676748717,-1.6175520034452884,-1.7732600221003882,-2.2415870045833417,-0.3808395446014775,-1.5328331732830296,0.7662109341230365,0.810166285057697,0.8065688693680647,-0.023148287049231088,-0.7083348055736761,-0.7083348055736761,-0.22139136788635563,,,0.20850548720467751,0.006978614642877229,0.48595023420607064,0.03934872873421273,0.7593027325643893,1.6530197983977857,-1.386908233773924,-1.8348465150735356,0.4461695513440159,0.1054560895269359,-1.6703832694267498,-1.3090249787035835,-1.833031329598104,1.0002117369084302,0.36722036145717335,0.45585245322650414,0.7038227106174534,-1.8348465150735356,0.6910963210740234,0.644512008275326,0.6486669758369903,-2.2439112720885594,0.6475021892981557,0.650128256344668,1.4030887545835362,-1.5379126828834524,1.0495337952847708,0.7166391316294503,0.11729384343847298,-0.9304891974517262,-0.5318733757276645,0.09112461116907308,0.022690978638358755,-0.4972116448232303,-0.6941346437100103,-0.4725067776285672,-4.42886374719027,-8.98175533628588,-13.674722895431318,-12.995330792989053,-13.211355511681925,-11.983940603012174,-12.184406952091978,-11.321035334716019,-8.931489951683682,0.5393864542946019,0.2008271643675541,0.5038214656563265
Kurtosis,-0.4240492900506059,-0.5807208620382962,-0.8463893824025712,-0.3873811362853439,0.1867911083767999,-0.5854962129464605,-0.63012081645312,-0.9909014730567711,-0.9682740128289518,-0.5534144610478138,-0.285152526725323,-0.18306996984202684,-0.7574595430790558,-1.1019545226669396,-1.2244341683712707,-0.42182979116262587,-1.5490978263443764,-0.10843187701475276,0.35685739105050507,-1.6561835964028526,0.051231074394048726,-0.38305599559236114,-1.1441233366374606,0.75695917181377,-0.20128069906197288,1.2762991755775568,3.253178149713042,3.2625167655897873,0.023931528349465214,0.22275249557325738,1.688875949124271,0.5626239366988641,-1.06658079277112,0.3046683971435966,0.2757290767823699,5.96718634594321,0.08191396831559716,0.320155879379715,2.7389789164328615,3.1368946473005126,7.654546538121992,0.14309415990442886,5.568633770515261,-0.9782205064731264,-0.9152136313743053,-0.8961859981244404,-1.6457388958690333,-1.1533263473051347,-1.1533263473051347,0.1976884080075263,,,-1.7317507889774055,-1.728812197546795,-1.6323027653952722,-0.2854855199521973,0.6443645615315452,3.210124151968153,6.516204551293802,3.20081620984427,0.06416061664980299,0.7216323361888324,5.1866307458846865,2.877246689571037,5.927181245179714,-0.01928126451993739,-0.1607904873783519,-0.9141511604609369,-0.5219371219503857,3.20081620984427,-0.7412446444197314,-1.212391400455168,-0.8156278325169168,25.383026970741874,-0.26279356611264726,-0.5731351354416563,3.6553212033193914,7.149122956754516,0.7959685437409645,-0.38788213137531224,-1.6897198112040401,2.65954247282486,0.9075804472557696,-1.1868060328277752,-1.329117954480418,-0.07684679168623498,0.3804441561348759,0.5126933691873159,44.66551669668118,131.6112345281383,236.64495685733812,220.7899256265086,226.9718525027033,198.39306519154204,204.20775686260123,186.64095735641666,138.705585180215,-1.1497513267005264,-1.4933881258330426,-1.1903989466078984
Coefficient Variation,0.1330774829635918,0.13197848056534475,0.15009636504727616,0.13634362592227425,0.15891933549971812,0.12912968276809494,0.14227273119012898,0.07418499569404403,0.221854886787177,0.21328156460441622,0.1968539956700731,0.26617308493967334,0.09321959256987347,0.17572076569734546,0.40194251749489607,0.19096829367430337,0.5021415755838009,0.14699253283471467,0.10616911385321598,0.47523887781675933,0.27091775994848805,0.19316802334180816,0.4429073850137797,1.074918726715456,0.11902171927797298,0.7198998199569033,1.0287490259487018,1.0933305385565792,0.3430940877169351,0.6146164982962489,0.9450349651743052,0.6139241482192614,0.21766202564193388,1.0337455679283887,0.0663260000478702,0.08776161963281073,0.04182677099919461,0.047196455767326236,0.05029387630401032,0.07201527378298102,0.0789831263614048,0.17609393417383784,0.08142466016854985,0.7660905651395115,0.7950365860002598,0.9859582543655643,0.58594586706624,0.4061308207822213,0.4061308207822213,0.3517264848531683,,,0.6284257722622062,0.34701189687858436,0.7966029975203652,0.1788572028024829,0.3924350099413795,0.8654241981102344,12.53580352781748,-1.5508334413394618,0.03886570278244005,0.060736577688024485,0.06802029023314404,0.015762398524470853,0.07060825745290775,0.9503512437691117,0.14583938685890696,0.6204509226278239,0.6943850751221212,-1.5508334413394618,0.9397758570555612,0.8118586929518196,0.4068099038445018,1.4169253124622996,0.6027859581801998,0.6267190082129551,0.7051705504219676,-1.0548404637909283,0.6982595084407623,0.6561615194147277,0.34723415130673757,0.0757842527830177,0.09624632214063909,0.08983589206833456,0.07965132312800513,0.06431334925188142,0.07476644029047479,0.07120708436398555,0.0813519395130177,0.06258894283849582,0.05631789498906661,0.05457207781922187,0.05625353528468182,0.05538447275820494,0.05763160749446511,0.05780597759306497,0.06043881453593207,0.5602738452505829,0.4947411114688199,0.5474826784270569
Min,233578.6209,6432.2008,8425.6292,202760.3336,21822.9781,210415.3584,30818.2873,18241.7733,22506.2883,11243.2813,22327.7359,37297.7211,97.17687117,106755.07947254,14751.36321792,106755.07947254,232.88485106,37855.2187,2180.10511266,2182.70932304,3702.3604,21486.9214,6450.7251,205.19929411,264.57749114,-7.86330735,-7.6579774,-12.20257394,0.48694154,-7.42729885,-8.13185638,-3.4063309,28778163.8176949,-10.40286621,3167.01038851,28.5,47.9,47.5,38.9,34.7,28.9,26.1,31.4,21002.21,37661.52,57300,49057.50620191,48697.8656636,48697.8656636,24096.28842318,0,0,45743.52411441,182842.40186835,73568.25281247,11229.6894,698.6534,-10758.28,-62370.32032616,-105929.69239797,58.2,39.2,34.6,45.9,32.6,1489.83078215,5367.36785624,11596.25360535,10903.74918314,-105929.69239797,3,1768643,491025.6004757,-64494.88886278,8267.35360535,1702.05760102,5737.19217554,-19807.38445569,3321.2,3328.6,182842.40186835,3,3,4,4.19,4,4,4,0.22,0.22,0.01,0.26,0.07,0.32,0.08,0.18,0.33,5918748.46327201,418399,6751595.03450384
Max,429981.9093,10937.4323,14342.5027,382906.4118,49218.5765,351600.7639,54939.1237,23908.8477,53239.8901,27355.853,53694.6839,101235.5825,136.655256,179132.52341649,45936,199823,1682.55499338,75443.7168,3316.15151692,12031.78759894,12799.1303,51333.1369,30139.0909,54410.61946903,451.47930915,15.00813674,14.86765655,15.30263361,8.53956637,19.60276187,12.30412198,9.01318309,55986859.234383,16.57474037,3932.21092273,63.9,58.6,59.3,52.5,54.1,57.8,78.3,62.5,269959.3,508018.1,1377535.35280279,506765.61089784,261907.08922594,261907.08922594,142545.31760398,0,0,567051.06011584,506215.11418489,1101210.44733595,26555.0902,4314.6013,69198.46,41093.8524526,16156,70.3,57.4,58.2,50.5,57.6,112961.38490843,10447.27344538,160621.13981384,235749.52759625,16156,10462,32780966.4972122,1596828.73699349,35195.82385999,121831.68398852,22525.04807827,123094.25742399,6572.76853245,48695.4185588,45848.73983255,495628.74552863,5.1,5.4,5.5,5.45,5.3,5.55,5.55,5.5,5.75,5.5,5.55,5.55,5.6,5.6,5.7,6,33824000,2107257.13,36508000
